,drug,CYP_l,CYP1A2_l,CYP3A4_l,CYP2C8_l,CYP2C9_l,cytochrome,CYP1A2,CYP3A4,CYP2C8,CYP2C9,year,count_pubmed,count_name,CYP1A2_norm_cyt,CYP1A2_norm_name,CYP1A2_norm_pubmed,CYP3A4_norm_cyt,CYP3A4_norm_name,CYP3A4_norm_pubmed,CYP2C8_norm_cyt,CYP2C8_norm_name,CYP2C8_norm_pubmed,CYP2C9_norm_cyt,CYP2C9_norm_name,CYP2C9_norm_pubmed,pubmed_count_full
2,OPICAPONE,0.0,0.0,0.0,0.0,0.0,60.0,20.0,39.0,19.0,16.0,2010.0,66.0,1170.0,0.3333333333333333,0.017094017094017096,0.30303030303030304,0.65,0.03333333333333333,0.5909090909090909,0.31666666666666665,0.01623931623931624,0.2878787878787879,0.26666666666666666,0.013675213675213675,0.24242424242424243,1170.0
3,OZANIMOD,2.0,0.0,1.0,0.0,0.0,51.0,4.0,22.0,8.0,9.0,2006.0,88.0,1740.0,0.0784313725490196,0.0022988505747126436,0.045454545454545456,0.43137254901960786,0.01264367816091954,0.25,0.1568627450980392,0.004597701149425287,0.09090909090909091,0.17647058823529413,0.005172413793103448,0.10227272727272728,1740.0
4,AMISULPRIDE,0.0,0.0,0.0,0.0,0.0,1450.0,332.0,541.0,80.0,942.0,1979.0,1164.0,19900.0,0.2289655172413793,0.016683417085427137,0.2852233676975945,0.37310344827586206,0.027185929648241205,0.4647766323024055,0.05517241379310345,0.004020100502512563,0.06872852233676977,0.6496551724137931,0.047336683417085426,0.8092783505154639,19900.0
5,REMIMAZOLAM,0.0,0.0,0.0,0.0,0.0,29.0,5.0,16.0,3.0,7.0,2007.0,74.0,420.0,0.1724137931034483,0.011904761904761904,0.06756756756756757,0.5517241379310345,0.0380952380952381,0.21621621621621623,0.10344827586206896,0.007142857142857143,0.04054054054054054,0.2413793103448276,0.016666666666666666,0.0945945945945946,420.0
6,ARTESUNATE,0.0,0.0,0.0,0.0,0.0,4830.0,1070.0,1640.0,1050.0,1730.0,1985.0,3090.0,41600.0,0.22153209109730848,0.025721153846153845,0.34627831715210355,0.33954451345755693,0.03942307692307692,0.5307443365695793,0.21739130434782608,0.025240384615384616,0.33980582524271846,0.3581780538302277,0.04158653846153846,0.5598705501618123,41600.0
7,OSILODROSTAT,3.0,0.0,1.0,0.0,0.0,51.0,18.0,32.0,8.0,19.0,2006.0,40.0,254.0,0.35294117647058826,0.07086614173228346,0.45,0.6274509803921569,0.12598425196850394,0.8,0.1568627450980392,0.031496062992125984,0.2,0.37254901960784315,0.07480314960629922,0.475,254.0
8,LURBINECTEDIN,1.0,0.0,1.0,0.0,0.0,62.0,3.0,25.0,5.0,8.0,2011.0,61.0,1270.0,0.04838709677419355,0.002362204724409449,0.04918032786885246,0.4032258064516129,0.01968503937007874,0.4098360655737705,0.08064516129032258,0.003937007874015748,0.08196721311475409,0.12903225806451613,0.006299212598425197,0.13114754098360656,1270.0
9,TAZEMETOSTAT,2.0,0.0,1.0,0.0,0.0,47.0,5.0,28.0,5.0,7.0,2014.0,91.0,1830.0,0.10638297872340426,0.00273224043715847,0.054945054945054944,0.5957446808510638,0.015300546448087432,0.3076923076923077,0.10638297872340426,0.00273224043715847,0.054945054945054944,0.14893617021276595,0.003825136612021858,0.07692307692307693,1830.0
10,TRIHEPTANOIN,0.0,0.0,0.0,0.0,0.0,153.0,1.0,12.0,2.0,4.0,1993.0,95.0,1170.0,0.006535947712418301,0.0008547008547008547,0.010526315789473684,0.0784313725490196,0.010256410256410256,0.12631578947368421,0.013071895424836602,0.0017094017094017094,0.021052631578947368,0.026143790849673203,0.003418803418803419,0.042105263157894736,1170.0
11,CEDAZURIDINE,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,1.0,1.0,2006.0,11.0,311.0,0.25,0.003215434083601286,0.09090909090909091,0.5,0.006430868167202572,0.18181818181818182,0.25,0.003215434083601286,0.09090909090909091,0.25,0.003215434083601286,0.09090909090909091,311.0
